month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,cfs_meals,meal_percent_cfs_covered,monthly_nbhd_meals_library,meal_percent_library_covered,charitable_percent_covered
1,2019,Pendleton,31,11,0,20,231.17,465.09,1083,571,238,111,49,3.17,0.218914186,0.824800105,1.9,1,100719,319279.23,58136.25,0.182085913,4160,0.041303031,1.048189049,0,0,0,0,0,0,0,0,0,0,0
1,2019,Pleasant Ridge,31,11,0,20,231.17,465.09,7182,3534.503299,1409.428841,690.7728558,255.6503299,3.17,0.085550603,0.945230719,2.006922863,1,667926,2117325.42,140633.3969,0.066420303,24607.00283,0.036840912,1.048491934,0,0,0,0,0,0,0,0,0,0,0
1,2019,Queensgate,31,11,0,20,231.17,465.09,243,79.62848606,91.00398406,26.62350598,16.45816733,3.17,0.531914894,0.52970774,2.29,1,22599,71638.83,19699.15563,0.274978746,1120.123506,0.04956518,0.854251666,0,0,0,0,0,0,0,0,0,0,0
1,2019,Riverside,31,11,0,20,231.17,465.09,1772,929.6467066,299.6766467,135.7784431,49.7005988,3.17,0.179142163,0.85078079,1.920112867,1,164796,522403.32,77455.58731,0.148267793,4822.45509,0.02926318,1.028311764,0,0,0,0,0,0,0,0,0,0,0
1,2019,Roselawn,31,11,0,20,231.17,465.09,7627,3442,2060,1154,384,3.17,0.29110982,0.733542471,2.123861282,1,709311,2248515.87,466020.18,0.207256789,39988,0.056375835,0.997175096,0,0,0,0,0,0,0,0,0,0,0
1,2019,Sayler Park,31,11,0,20,231.17,465.09,3001,1169,690,395,136,3.17,0.127459367,0.870307156,2.56,1,279093,884724.81,69298.41,0.078327644,13806,0.049467382,0.998102182,0,0,0,0,0,0,0,0,0,0,0
1,2019,Sedamsville,31,11,0,20,231.17,465.09,520,218.3532934,118.3233533,64.22155689,25.2994012,3.17,0.386809269,0.783156815,2.26,1,48360,153301.2,39282.00269,0.256240673,2327.54491,0.048129547,1.087527036,0,0,0,0,0,0,0,0,0,0,0
1,2019,South Cumminsville,31,11,0,20,231.17,465.09,704,282.6853539,291.5655221,164.5297828,21.70707779,3.17,0.530541012,0.571131307,2.48,1,65472,207546.24,69752.41867,0.336081341,4842.158374,0.073957698,0.981170345,0,0,0,0,0,0,0,0,0,0,0
1,2019,South Fairmount,31,11,0,20,231.17,465.09,1981,855,453,211,131,3.17,0.392982456,0.704799795,2.09,1,184233,584018.61,156270.24,0.267577501,8892,0.048264969,1.020642264,0,0,0,0,0,0,0,0,0,0,0
1,2019,Spring Grove Village,31,11,0,20,231.17,465.09,2171,862,599,373,70,3.17,0.212296984,0.889740215,2.51,1,201903,640032.51,85111.47,0.132979917,11518,0.057047196,1.079767328,0,0,0,0,0,0,0,0,0,0,0
